Iteration_Survey,Participant,Gender,Age,SpanL1,[Field-2]-1_1_1-relatedword1,[Field-2]-1_1_1-relatedword2,[Field-2]-1_1_1-relatedword3,[Field-2]-1_1_2-relatedword1,[Field-2]-1_1_2-relatedword2,[Field-2]-1_1_2-relatedword3,[Field-2]-1_1_4-relatedword1,[Field-2]-1_1_4-relatedword2,[Field-2]-1_1_4-relatedword3,[Field-2]-1_2_1-relatedword1,[Field-2]-1_2_1-relatedword2,[Field-2]-1_2_1-relatedword3,[Field-2]-1_2_2-relatedword1,[Field-2]-1_2_2-relatedword2,[Field-2]-1_2_2-relatedword3,[Field-2]-1_2_3-relatedword1,[Field-2]-1_2_3-relatedword2,[Field-2]-1_2_3-relatedword3,[Field-2]-1_3_1-relatedword1,[Field-2]-1_3_1-relatedword2,[Field-2]-1_3_1-relatedword3,[Field-2]-1_3_3-relatedword1,[Field-2]-1_3_3-relatedword2,[Field-2]-1_3_3-relatedword3,[Field-2]-1_3_4-relatedword1,[Field-2]-1_3_4-relatedword2,[Field-2]-1_3_4-relatedword3,[Field-2]-2_1_1-relatedword1,[Field-2]-2_1_1-relatedword2,[Field-2]-2_1_1-relatedword3,[Field-2]-2_1_2-relatedword1,[Field-2]-2_1_2-relatedword2,[Field-2]-2_1_2-relatedword3,[Field-2]-2_1_3-relatedword1,[Field-2]-2_1_3-relatedword2,[Field-2]-2_1_3-relatedword3,[Field-2]-2_2_2-relatedword1,[Field-2]-2_2_2-relatedword2,[Field-2]-2_2_2-relatedword3,[Field-2]-2_2_3-relatedword1,[Field-2]-2_2_3-relatedword2,[Field-2]-2_2_3-relatedword3,[Field-2]-2_2_6-relatedword1,[Field-2]-2_2_6-relatedword2,[Field-2]-2_2_6-relatedword3,[Field-2]-2_3_1-relatedword1,[Field-2]-2_3_1-relatedword2,[Field-2]-2_3_1-relatedword3,[Field-2]-2_3_2-relatedword1,[Field-2]-2_3_2-relatedword2,[Field-2]-2_3_2-relatedword3,[Field-2]-2_3_4-relatedword1,[Field-2]-2_3_4-relatedword2,[Field-2]-2_3_4-relatedword3,[Field-2]-3_1_1-relatedword1,[Field-2]-3_1_1-relatedword2,[Field-2]-3_1_1-relatedword3,[Field-2]-3_1_6-relatedword1,[Field-2]-3_1_6-relatedword2,[Field-2]-3_1_6-relatedword3,[Field-2]-3_1_3-relatedword1,[Field-2]-3_1_3-relatedword2,[Field-2]-3_1_3-relatedword3,[Field-2]-3_2_5-relatedword1,[Field-2]-3_2_5-relatedword2,[Field-2]-3_2_5-relatedword3,[Field-2]-3_2_2-relatedword1,[Field-2]-3_2_2-relatedword2,[Field-2]-3_2_2-relatedword3,[Field-2]-3_2_3-relatedword1,[Field-2]-3_2_3-relatedword2,[Field-2]-3_2_3-relatedword3,[Field-2]-3_3_1-relatedword1,[Field-2]-3_3_1-relatedword2,[Field-2]-3_3_1-relatedword3,[Field-2]-3_3_2-relatedword1,[Field-2]-3_3_2-relatedword2,[Field-2]-3_3_2-relatedword3,[Field-2]-3_3_4-relatedword1,[Field-2]-3_3_4-relatedword2,[Field-2]-3_3_4-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-2]-1_1_3-relatedword1,[Field-2]-1_1_3-relatedword2,[Field-2]-1_1_3-relatedword3,[Field-2]-1_1_5-relatedword1,[Field-2]-1_1_5-relatedword2,[Field-2]-1_1_5-relatedword3,[Field-2]-1_1_6-relatedword1,[Field-2]-1_1_6-relatedword2,[Field-2]-1_1_6-relatedword3,[Field-2]-1_2_4-relatedword1,[Field-2]-1_2_4-relatedword2,[Field-2]-1_2_4-relatedword3,[Field-2]-1_2_5-relatedword1,[Field-2]-1_2_5-relatedword2,[Field-2]-1_2_5-relatedword3,[Field-2]-1_2_6-relatedword1,[Field-2]-1_2_6-relatedword2,[Field-2]-1_2_6-relatedword3,[Field-2]-1_3_2-relatedword1,[Field-2]-1_3_2-relatedword2,[Field-2]-1_3_2-relatedword3,[Field-2]-1_3_5-relatedword1,[Field-2]-1_3_5-relatedword2,[Field-2]-1_3_5-relatedword3,[Field-2]-1_3_6-relatedword1,[Field-2]-1_3_6-relatedword2,[Field-2]-1_3_6-relatedword3,[Field-2]-2_1_4-relatedword1,[Field-2]-2_1_4-relatedword2,[Field-2]-2_1_4-relatedword3,[Field-2]-2_1_5-relatedword1,[Field-2]-2_1_5-relatedword2,[Field-2]-2_1_5-relatedword3,[Field-2]-2_1_6-relatedword1,[Field-2]-2_1_6-relatedword2,[Field-2]-2_1_6-relatedword3,[Field-2]-2_2_1-relatedword1,[Field-2]-2_2_1-relatedword2,[Field-2]-2_2_1-relatedword3,[Field-2]-2_2_4-relatedword1,[Field-2]-2_2_4-relatedword2,[Field-2]-2_2_4-relatedword3,[Field-2]-2_2_5-relatedword1,[Field-2]-2_2_5-relatedword2,[Field-2]-2_2_5-relatedword3,[Field-2]-2_3_3-relatedword1,[Field-2]-2_3_3-relatedword2,[Field-2]-2_3_3-relatedword3,[Field-2]-2_3_5-relatedword1,[Field-2]-2_3_5-relatedword2,[Field-2]-2_3_5-relatedword3,[Field-2]-2_3_6-relatedword1,[Field-2]-2_3_6-relatedword2,[Field-2]-2_3_6-relatedword3,[Field-2]-3_1_4-relatedword1,[Field-2]-3_1_4-relatedword2,[Field-2]-3_1_4-relatedword3,[Field-2]-3_1_5-relatedword1,[Field-2]-3_1_5-relatedword2,[Field-2]-3_1_5-relatedword3,[Field-2]-3_1_2-relatedword1,[Field-2]-3_1_2-relatedword2,[Field-2]-3_1_2-relatedword3,[Field-2]-3_2_4-relatedword1,[Field-2]-3_2_4-relatedword2,[Field-2]-3_2_4-relatedword3,[Field-2]-3_2_1-relatedword1,[Field-2]-3_2_1-relatedword2,[Field-2]-3_2_1-relatedword3,[Field-2]-3_2_6-relatedword1,[Field-2]-3_2_6-relatedword2,[Field-2]-3_2_6-relatedword3,[Field-2]-3_3_3-relatedword1,[Field-2]-3_3_3-relatedword2,[Field-2]-3_3_3-relatedword3,[Field-2]-3_3_5-relatedword1,[Field-2]-3_3_5-relatedword2,[Field-2]-3_3_5-relatedword3,[Field-2]-3_3_6-relatedword1,[Field-2]-3_3_6-relatedword2,[Field-2]-3_3_6-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country
first,sp26,Male,26,Yes,Maca,Sofa,Colchon,Vidrio,,,Vacuum,Limpia,,Recoger,Manita,,Hacer,Chef,,Estirar,,,Liquor,Tiendita,,Baja,Peso,Minimo,Mucho,Demasiado,,Soda,Coca,,Asado,Roja,,Salada,Lechu,,Juego,Cascara,Cascarita,Coach,,,Ref,Maestro,Profe,Baston,,,Gripa,Enfermar,Resfriado,Calma,Bien,Buenestar,Camisol,Playera,T,Cachucha ,Gorro,Visor,Mini,Skir,,Jet,,,Mar,Costa,Playita,Prestar,Prestamo,,Relampago,Aguacero,Aguita,Solazo,Luz,Dia,Helado,Nieve,Bajo,Banana,Banana,Banana,Layer,Art,Painter,Page,Layer,Thin,Clean,Cleaner,,Out,Garbage,Waste,Clean,Sway,Away ,Clean,Washing,Changing,Manager,Attendant ,,Low,Lowly,Budget ,Cash,Price ,Value ,Wimp,Food,,Bud,Brew,Drink,Sweet,Last,Candy,Party,Hard,Soccer,Champ,First,Best,Teammate,Member,Team,Visible,See,,Ouch,Hurt,Discomfort ,Doctor,Md,Expert,Tee,Jersey,Shirt,Ready,Prepare,Salad,Cargo,Jeans,Khakis,Driving,Onward,Going,Satchel ,Carrier,,Stay,Hotel,Motel,Ice,Pack,Slush,Hot,Temperature ,Steaming,Air,Gust,Howl,English and spanish,Spanish and englisj,Spanish and English ,Spanish and English ,Yes,School ,7 years,Yes,No,
first,sp27,Female,19,Yes,dormir ,comodo,amplia ,vestirse ,maquillarse,dientes ,ruido,grande ,limpio,fregar ,despejado,lindo,comida,carne ,sazon ,blusa ,pantalones,caliente ,mercado ,ropa,comida,tienda ,zapato,telefono,ropa,maquillaje,dinero,burbujas ,rico,gaseoso,rojo,cocina ,rico,saludable,vegetales ,carne,futbol,juego,familia ,atleta ,ejercicio ,rapido,futbol,juego,pitar,ayuda,cojo,necesario ,gripe,fiebre,medicina ,vegetales ,agua,carne,negra,pasear,linda,sol,calor ,grande ,aire,corto,apretado,ruido,alto,animales ,arena,agua,sol,carro,casa,tienda,relampago,oscuro ,miedo,calor ,brillante ,sed,abrigo,colcha ,aire ,banana,banana,banana,artistic,culture,pretty,clean,warm,comfy,machine,clothes,dirty,can,school,room,clean,comfy,home ,laundry,dishes,socks,friendly,rude ,pretty,shoes,groceries,ham,necessity,expensive ,books,strips,food,animals,alcohol,nasty,drunk,ice cream,donut,cookies,beach,volleyball,game,win,difficult,strong,game,boyfriend,monopoly,broken,accident,tumor ,back,exercise,old,health,caring,sweet,wet,white,ripped,fancy,long ,expensive ,shirts,sweaters ,shoes,university,home,groceries ,big,space,school,family,house,rooms,cold,sweater,heater ,sun,stove,car ,harsh,mess,cold,Spanish and English ,spanish,spanish,spanish ,Yes,elementary school,10 or plus years ,No,No,
second,sp28,Male,34,Yes,Dormir,almuada,Sabana,Ropa,apariencia,peinado,Limpiar,suciedad,trabajo,Ropa,baño,cepillo,Cocina,comida,tenedor,Ropa,camisa,Lavado,Comida,Mercado,credito,Descuento,ropa,feriado,Plata,lujo,calidad,Soda,hielo,vaso,Sal,arroz,vaca,verdura,almuerzo,vinagre,Futbol,pelota,pelo,Futbol,Deporte,gimnasio,Futbol,silvido,cronometro,Dolor,renguear,Yeso,Termometro,medicina,doctor,Vegetal,tomate,ejercicio,Saco,corbata,formal,Sol,calor,antiguo,Ropa,mujeres,vestido,Volar,vacacion,visitar,Verano,vacaciones,viajar,Casa,apartamento,Dinero,Paraguas,agua,mojar,Calor,amarillo,clima,Hielo,invierno,nieve,banana,banana,banana,Brush,paint,creativity,Bed,pillow,dream,Dryer,clothes,Dirty,Bag,Waste,garbage,Clean,broom,Maid,Hands,soap,clean,Person,money,credit,Quality,endurance,value,Clip,wallet,bills,Food ,lunch,restaurant,Drink,alcohol,glass ,Sand,Hot,heat ,Football,sports,bounce,England,premier,league,Game,rules,people,Doctor,Hospital,Bones,Pills,headache, hit,Doctor,medicine,Decease ,Clothes,character,Color,Women,pretty,formal,Jeans,night,work,Car,license,loan ,Travel,leather, big,Hotel,vacation,travel,Water,cold,winter,Sweat,Hot,spicy,Hair,autumn,coat ,"Spanish, English, Korean","spanish, korean","spanish, korean","Spanish, English, Korean",Yes,"Middle school, high school, college", 10 years,No,Yes,United States. Since 2002 till now.
first,sp29,Male,21,Yes,dormir,suave,noche,claro,bano,transparente,hospital,malo,cama,mopa,escoba,limpio,carne,mama,plato,ropa,mama,blanco,caro,wal-mart,target,comprar,dinero,tienda,rojo,nissan,toyota,sprite,soda,frio,biste,arroz,hambre,verde,lechuza,tomate,futbol,basketbol,basebol,flaco,gym,gordo,papel,animal,puerta,negro,persona,mujer,covid,hospital,cama,verde,ensalada,flaco,blanco,grande,flaco,sol,trabajo,grande,gordo,mujer,flaca,grande,azul,aeropuerto,sal,agua,sol,carro,dinero,vijar,sombria,mojado,sol,calor,amarillo,manana,carne,helado,enero,banana,banana,banana,red,orange,oil,paper,printer,white,clean,water,clothes,can,banana,paper,broom,dirt,floor,dishes,soap,cups,walmart,publix,money,dollar tree,walmart,used,green,rich,paper,food,fried,bbq,cold,adult,drunk,tan,hot,snakes,football,baseball,basketball,winner,loser,basketball,football,video game,character,black,ribs,white,back,knees,feet,doctor,office,expensive,white,tight,big,red,long,skirt,blue,soft,black,fast,car,long,paper,plastic,brown,wood,summer,heat,white,cold,soft,skin,sun,cancer,strong,clear,wind mill,english and spanish,spanish,spanish,spanish,Yes,"high school, middle school, elementary school",16 years,No,Yes,"United States, 16 years"
first,sp30,Female,27,Yes,descansar,cobija,calientito,reflexion,vidrio,reflejo,ruido,limpiar,polvo,trapo,escoba,trastes,trabajo,caliente,tiempo,burro,caliente,prensa,dinero,comida,caminar,barato,de mal gusto,descuento,dinero,lujo,oro,rico,refrescante,dulce,vaca,rico,grasa,fresco,lechuga,frio,futbol,cerveza,familia,gimnasio,fuerte,sudor,persona,futbol,juez,cojeando,pierna,vendaje,doctor,cama,sopa,ensalada,caro,energia,blanco,ropa,botones,cabeza,vaquero,sol,ropa,mujer,lujo,ruido,claustrofobo,tiempo,arena,sal,mariscos,departamento,carro,herramienta,agua,oscuro,nube,caliente,estrella,cerveza,hielo,viento,sin sentimiento,banana,banana,banana,art,museum,expensive,bed,white,paper,dryer,folding,laundry,smelly,bags,ocean,chores,broom,dust,chores,machine,soap,employee,corporations,uninterested,deal,low quality,money,bank,hard work,greed,eating,feathers,eggs,bubbly,good time,cook out,yummy,fancy,restaurant,sports,dog,school,winners,sports,hard,sports,winning,time,bones,doctor,broken,uncomfortable,medicine,hurt,expensive,unhealthy,anxiety,comfortable,cotton,customize,woman,job,party,jeans,clothes,work,tiring,overwhelming,radio,shopping,reusable,trash,cabin,vacation,mountains,water,cold,mountains,sun,summer,spice,energy,cold,hurricane,English and Spanish,Spanish and English,Spanish and English,Spanish and English,No,,,Yes,Yes,United States for 10 years
second,sp31,Male,29,Yes,sueno,dormir,descanser,mira,atractivo,reflexion,limpio,esposa,suelo,sirvienta,lavar,ordenado,cocina,cebolla,maceta,camisa,pantalones,esposa,comprar,negocio,dinero,pequeno,menos,grande,comprar,dinero,tienda,jarritos,limon,naranja,pollo,lengua,cabeza,cena,comida,comer,futbol,jugar,correr,trabajar,correr,sano,futbol,jugar,correr,hueso,dolor,cojear,sopa,temperatura,cama,ensalada,fruita,caminar,usar,pantalones,planchar,fiesta,usar,el sol,ninas,mujers,blusa,volar,piloto,trabajar,arena,agua,nadar,casa,carro,departamento,arana,tiempo,frio,tiempo,amarillo,calido,lluvia,tiempo,viento,banana,banana,banana,relax,color,brush,bed,blanket,pillows,dryer,clothes,clean,dirty,dumpster,wrappers,clean,dust,dirt,shower,bath,water,work,smile,service,money,shopping,pennies,expensive,dollars,bills,eat,cook,animal,carbs,wheat,hops,eat,indulge,chocolate,play,run,bounce,game,team,effort,team,sport,game,doctor,bones,insurance,hurt,fall,joints,educated,patient,work,iron,pants,shoes,wear,feminine,women,shirt,iron,shoes,attention,alert,careful,plastic,paper,hold,home,cabin,hotel,cold,wet,weather,hot,tired,sweat,weather,cold,windy,"spanish, english","spanish, english",english,english,No,,,Yes,No,
first,sp32,Female,20,Yes,Dormir ,Almohada,Suenos ,Cuarto ,Reflexion ,Grande,Limpiar ,Tierra,Sucio,Escoba,Trastes ,Baño,Comida,Ingredientes,Sal,Ropa ,Cabello ,Camisa ,Comprar ,Comida ,Ingredientes ,Negocio,Tienda ,Trabajo,Rapido,Destino ,Direcciones ,Frio ,Azucar,Rico,Asada,Tierna,Rica,Saludable,Verde,Lechuga ,Futbol,Pelota,Gol,Gimnasio,Ejercicio,Deporte,Deporte,Futbol,Puntaje,Piernas ,Hospital,Lesion,Medicina,Tos ,Fiebre ,Ensalada,Verduras ,Fruta ,Casual,Comodo ,Grande,Grande,Fiestas,Mexicano,Corta,Bonita,Vestido ,Aire,Volar ,Grande,Mar,Arena,Sol,Casa,Apartamento,Rentar ,Sombrilla ,Agua ,Nublada,Caliente ,Luz,Afuera ,Hielo,Sueter ,Nieve ,Banana,Banana,Banana,Brush,Canvas,Colors,Paper,Bed,Thin ,Dishes,Clothes,Soap ,Garbage,Smelly,Bag,Clean,Broom,Dust,Clean,Dishes,Clothes ,Customers,Job,Registers ,Money,Low,Buy ,Wealth ,Class,Green,Feathers,Egg,Food,Alcohol,Jug,Fizz,Sweet,Sugar,Restaurant,Sport,Soccer,Games,Sport,Trophy,Games,Sport,Ball,Score,Doctor,Scan,Body ,Injury,Hurt,Emergency,Diagnose,Doctor,Medical,Big,Comfortable,Style,Pretty,Long,Stylish,Outfit,Comfortable,Long,Car,License,Road,Trash,plastic,Leather,Rent,Temporal,Apartment,White,Cold,Sledding ,Sun,Hot,Summer ,Fresh,Strong,Air,"English, Spanish",Spanish,Spanish,Spanish,Yes,"High school, College",2 years,Yes,No,
first,sp33,Female,29,Yes,Dormir,Cuarto,manta,reflexión,Mirar,Vidrio,Limpiar,Polvo,Sucio,Desorden,lejía,Fregar,Comer,Comida,Beber,Camisa,Vestido,Blusa,Comprar,Tarjeta de credito,comestibles,Descuento,Calor,Precio,Comprar,crédito,Dinero,Soda,,,Pollo,Pavo,Jamón,Lechuga,Tomate,Queso,fútbol,Fiesta,Juego,ejercicio,física,aprender,Fútbol,Juego,Jugar,Fracturado,Lesión,Pierna,Tos,Fiebre,La gripe,Verdiras,Frutas,Agua,Falda,Blusa,Chal,Cabeza,Cabello,Cálido,Camisa,Vestido,Ropa,Volar,aeropuerto,equipaje,Oceano,Arena,Sol,Apartmento,Dinero,Trabajo,Nubes,El trueno,Tormenta,Playa,Oceano,Caliente,Hielo,Nieve,Invierno,Banana,Banana,Banana,Art,Artist,Paint,Bed,Bedroom,Blankets,Drier,Laundry,Clothing,Rubbish,Garbage,Dirt,Cleaning,Dust ,Dirt,To clean,Laundry,Dishes ,Service,Person,Job,Inexpensive,Plastic,Money,Payment,Credit,Debit,Turkey,Meat,Rooster,Alcohol,Drinking,Gross,Cake,Cookies,Ice cream ,Game,Basketball,Soccer,Game,Football,Chess,Game,Ball,Soccer,Broken,Bones,Imaging,Broken ,Heartbreak,Greif,Doctor,MD,Health,Tank-top,Shorts,Pants,Skirt,Clothes,Fancy,Skirt,Shirts,Capris,Going ,Traveling,Vacation ,Carry,Purse,Backpack,Hotel,Staying,Vacation,North,Winter ,Cold,Sun,Outside,Hot,Gust,Gale,Trees,English and Spanish ,English and Spanish,English and Spanish ,English,Yes,Elementary and middle school ,3,Yes,No,
second,sp34,Female,18,Yes,descansar,dormir,colchon,bano,seguridad,reflejo,polvo,casa,limpieza,casa,ventanas,aspiradora,chef,comida preferida,horno,ropa,burro de planchar,elegancia,despensa,ropa,articulos para el hogar,oferta,rebajar,descuento,joyas,autos,casas,coca cola,calor,reunion,bistec,comida,tocino,lechuga,aderezo,vegetales,futbol,domino,beisbol,juego,gimnacio,deportes,ciego,juego,imparcial,enfermo,accidente,desabilitado,mala alimentacion,frio,hospital,comida ,vegetales,ejercicio,ropa,hombre,fiesta,cabeza,sombra,baile,senorita,baile,trabajo,volar,viajar,azafata,sol,arena,bikinis,auto,casa,traje,mojarse,para aguas,chaqueta,playa,carne asada,fiesta,sueter,calefaccion,cafe,banana,banana,banana,remodeling,art,colors,bed,bed bugs,hotel,detergent,softener,tide pod,banana peel,plastic,wrapper,broom,dusting pan,living room,washer,dryer,bleach,walmart,sam's club,costco,flea market,dollar store,black friday,rich,power,caucasian man,farm,popeye's,lunch,drunk,bud light,car accident,cheese cake,flan,banana pudding,soccerball,basketball,tennisball,trophy,medals,gold,kobe bryant,lebron james,messi,hospital,physcian,diagnostic,depresion,back ache,head ache,doctor,general practicioner,nurse,summer,heat,shorts,party,profesional,summer,jeans,sweat pants,shorts,car,motorcycle,jet ski,purse,trash bag,backpack,cabin,air bnb,hotel,alaska,colorado,antartica,texas,summer,arizona,storm,tornado,chicago,english and spanish,spanish,spanish,spanish,No,,,Yes,No,
first,sp35,Non-binary,19,Yes,cobija,almohada,dormir,cara,cuerpo,,limpieza,sucio,polvo,barrer,trapear,tierra,comida,cocinero ,restaurante ,ropa,lavar,doblar,comprar,gastar,centro comercial,descuento,disminuir,,dinero,barato,economico,agua,soda,jugo,comida,asada,rez,lechuga,vegetal ,saludable,juego,futbol,deporte,deporte,ejercisio,practica,evaluador,deporte,jugador,hueso ,rotura,herida,doctor,medicina,descansar,amigable ,chistoso,conocido,blusa,pantalones,ropa,capa,cabeza ,accesorio,vestido,blusa,camisa,vuelo,aeropuerto,conductor,agua,arena,olas,renta,edificio ,dueno ,nube,agua,frio,calor,verano,luz,nubes,lluvia ,invierno ,banana,banana,banana,art,drawing,artist,pillowcase,bed,comforter,dryer,cleaning,machine,bin,dumpster,garbage,to mop,to clean,to vacuum ,clean,dry,chores,cashier,employee,essential worker,stingy,expensive,money,spending,cash,savings,food,meat,eggs,alcohol,party,vodka,sweets,cake,hungry,sport,player,game,competition,sports,win,team,sports,game,radiation,doctor,technician,injury,infirm,hurt,doctor,pediatrician,therapist,hoodie,pants,clothes,skirt,feminine,blouse,shirt,clothes,outfit,car,driver,wheel,purse,backpack,tote,cabin,winter,wood,rain,wind,hail,sun,sweat,summer,air,cold,breeze,"English, Spanish",Spanish,"Spanish, English","Spanish, English",No,,,Yes,No,
first,sp36,Female,21,Yes,sueno,dormir,casa,maquillaje,bano,casa,limpiar,casa,carpeta,sucio,cocina,trastes,comida,cocina,estufa,caliente,ropa,camisa,dulce,dinero,carro,peso,cuerpo,ejerciso,dinero,mucho,banko,calor,hielo,tomar,vaca,cocinar,comer,saludable,dieta,hambre,baloncesto,puntaje,jugador,deportes,juego,practicar,futball,jugador,puntaje,persona,ayuda,entrepierna,malo,medicina,frio,comida,salud,cuerpo,armario,pantalones,cuerpo,fiesta,calor,cambesa,mujer,ropa,salir,viajar,maleta,pais,voleibol,arena,aqua,casa,carro,telephono,frio,sombrilla,chaqueta,caliente,afuera,camisa,invierno,chaqueta,cobija,banana,banana,banana,colors,canvas,picture,bed,pillows,warmth,clothes,machine,house,food,paper,can,broom,trash,dirty,clean,clothes,house,food,purchase,money,money,food,less,cost,bank,purchase,dinner,stove,cook,party,drink,friends,dry,hot,drink,basketball,score,player,victory,sport,player,sports,score,victory,doctor,clinic,health,pills,hurt,sick,educated,helpful,cure,clothes,fashion,color,color,female,short,skin,legs,fashion,wheels,cars,road,shopping,fashion,shoulder,camp,cold,fire,cold,jackets,gloves,hot,summer,beach,cold,strong,jacket,spanish,Spanish and English,,,Yes,elementary school,6,Yes,Yes,"United States, 2000 till present"
first,sp37,Female,22,Yes,Dormir,Casa,Cuarto,Vanidad,Cara,Persona,Casa,Limpiar,Trabajo ,Casa,Javon,Cubeta,Cocina,Comida,Azúcar ,Casa,Ropa,Trabajo,Cosas,Comprar,Dinero,Tienda,Dinero,Comprar ,Accidente,Manejar,Conductor,Vaso,Soda,Comer,Animal,Comida,Cuchillo ,Vegetales,Aceito,Sal,Futbol,Juego ,Deportes ,Aburrido ,Deportes,Músculos ,Deportes,Cancha,Fútbol ,Chaqueta,Cabello,Música ,Vomito,Fiebre ,Cama,Vegetales,Comida,Nutrición ,Pantalones,Suéter ,Cuerpo,Cabeza ,Sol,Mariachi,Niña ,Escuela,Ropa,Cielo,Vacación ,Alas,Nadar,Traje de baño,Sol,Banco,Dinero,Tienda,Abrigo,Adentro ,Paraguas,Natural,Cielo,Aire ,Invierno,Bufanda,Nieve,Banana,Banana,Banana,Artist,Brush,Canvas ,Bed,Clean,Fabric ,Dryer,House,Appliance ,Garbage ,Plastic,Can,Chores,Cleaning ,Floor,Clean,Soap,Item ,Store,Money,Cashier,Discount,Coupon ,Money,Green,Abundance,Poverty,Food,Sandwich ,Fried,Drink,Foam,Cup,Candy,Chocolate ,Ice cream,Game,Sports,Player ,Sports,Winning,Award,Game,Win,Lose,Doctor,Medical,Injury,Body,Hospital,Cry,Doctor,Medicine,Hospital,Clothes,Cotton ,Pants,Girl,Long,Ruffles,Trousers,Khakis,Jeans ,Car,Person,Road,Plastic,Tote,Handle,Camp,Snow ,Hotel,Water,Cold,Frozen,Summer,Sun ,Sweat,Nature ,Air,Strong,Spanish and English ,Both,Both,Both,No,,,Yes,No,
first,sp38,Male,18,Yes,dormir,almohada,cobija,reflejo,cara,limpio,limpiar,sucio,suelo,trapear,escoba,toalla,comida,cena,aceite,ropa,pantalon,camisa,venta,rebaja,precio,descuento,venta,precio,gasolina,asiento,radio,bebida,agua,soda,asada,cocinar,comida,dieta,saludable,fruta,futbol,pelota,television,dieta,gimnasio,ejercicio,partidida,futbol,pelota,dano ,salud,doctor,vacune,doctor,salud,manzana,dieta,ensalada,tela,uniforme,ropa,sol,caliente,calor,nina,mujer,ropa,aire,asiento,billete,mar,agua,sol,dinero,pagos,deuda,frio,agua,nube,luna,noche,despierto,sueter,chaqueta,saco,banana,banana,banana,art,beautiful,interesting,bed,pillow,sleep,detergent,soap,water,flies,stench,truck,broom,mop,floor,dishwasher,laundry,clothes,money,sale,buy,sale,price,discount,job,time,effort,food,farm ,egg,alcohol,ice,cold,ice cream,cake,cookie,dodgeball,soccer,football,tournament ,experience,training,person,game,tournament,doctor,biology,fracture,injury,doctor,health,doctor,health,check up,pants,sweater,shoes,skirt,shirt,pants,shorts,skirt,shirt,car,driver,chauffeur,groceries,money,wallet,house,home,rest,ice,cold,sweater,hat,cold,beach,sail,breeze,cold,English and Spanish,spanish,spanish,mix of both,Yes,high school,4,Yes,Yes,USA
first,sp39,Male,25,Yes,dormir,agusto,relajando,mirrar,yo,bano,limpiar,limpieca,recojer,areglar,cosas,juntar,comida,delicioso,comer,ropa,caliente,comodar,comida,ropa,gastar,ejersicio,jugar,correr,mobile,viaje,lugar,soda,tomar,jugo,animal,delicioso,comer,vegetales,comiendo,lechuga,reporte ,jugar,amigo,reporte,jugando,futbol,futbol,reporte,jugando,torro,ropa,correr,corona virus,gomitar,tosar,vegetales,fruta,comiendo,ropa,limpio,areglado,cachucha,sombra,sol,ropa,camisa,vestido,cielo,lugar,pais,agua,tiera ,sol,rentar,hogar,casa,nubes,clima,mojado,estrella,espacio,caliente,sueter,ielo,nieve,banana,banana,banana,art,creative,love,warm,comfy  ,bed,clothes,cleans,easy,useless,garbage,spoiled,clean,broom,home,clothes,dishes,clean,food,buying,check out,clothes,plastic,break,cash,spend,enjoyment,animal,food,eggs,drink,enjoyment,fun,sand,hot,yellow,play,fun,soccer,soccer,football,satisfaction  ,gamer,soccer,friends,technology,health,safety ,hurt,suffer,sad,doctor,health,safety  ,clothes,design,expression ,girl,clothes ,cute,clothes,style,neat,car,bike,travel,carry,food,useful  ,cabin,hotel,travel,ice,cold,weather,sun,sweater,heater,weather,force,earth,English and Spanish,English and Spanish,English and Spanish,English and Spanish,No,,,No,Yes,Canada
first,sp40,Female,20,Yes,almuada,colcha,savana,reflejo,mirar,ser,limpieza,trapeador,escoba,esponja,jabon,escoba,comida,cuchara,plato,ropa,burro,enchufar,ropa,zapatos,comida,coupones,tienda,comprar,lujo,dinero,coupones,jugo,liquado,popote,guacamole,fiesta,nopal,lechuga,tomates,tenedor,futbol,deporte,pelota,boxeo,deporte,ejercicio,futbol,pelota,deporte,viejo,lastimado,horobado,hospital,enfermera,medecina,medecina,Corazon,doctor,blusa,vestir,futbol,mariachi ,hombre,negro,blusa,vestido,pantalones,viajar,asiento,cacahuete,arena,agua,pescados,casa,apartamento,caro,mojado,verde,gris,luna,amarillo,caliente,nieve,oscuro,hielo,banana,banana,banana,art,museum,drawing,bed,quilt,white,dryer,clean,soap,recycle,bag,plastic,broom,dust,dustpan,clean,fresh,soap,cashier,store,employee,coupon,dollar,store,rich,green,silver,fried,eggs,bird ,alcohol ,wine,drunk,sweet,sugar,chocolate,soccer,tennis,softball,sports,team,trophy,sport,game,soccer,hospital,bone,broken,hurt,broken,bruise,doctor,dermatologist,appointment,pants,blouse,camisole,party,clothing,shoes,trousers,jeans,shorts,car,wheels,driver,shopping,plastic,yellow,camper,cabin,woods,christmas,cold,white,summer,sweat,airconditoning,cold,pollen,air,"spanish, English, French ",spanish,spanish,spanish,No,,,Yes,No,
