Participant,Gender,Age,EngL1,[Field-2]-1_1_1-relatedword1,[Field-2]-1_1_1-relatedword2,[Field-2]-1_1_1-relatedword3,[Field-2]-1_1_2-relatedword1,[Field-2]-1_1_2-relatedword2,[Field-2]-1_1_2-relatedword3,[Field-2]-1_1_4-relatedword1,[Field-2]-1_1_4-relatedword2,[Field-2]-1_1_4-relatedword3,[Field-2]-1_2_1-relatedword1,[Field-2]-1_2_1-relatedword2,[Field-2]-1_2_1-relatedword3,[Field-2]-1_2_2-relatedword1,[Field-2]-1_2_2-relatedword2,[Field-2]-1_2_2-relatedword3,[Field-2]-1_2_3-relatedword1,[Field-2]-1_2_3-relatedword2,[Field-2]-1_2_3-relatedword3,[Field-2]-1_3_1-relatedword1,[Field-2]-1_3_1-relatedword2,[Field-2]-1_3_1-relatedword3,[Field-2]-1_3_3-relatedword1,[Field-2]-1_3_3-relatedword2,[Field-2]-1_3_3-relatedword3,[Field-2]-1_3_4-relatedword1,[Field-2]-1_3_4-relatedword2,[Field-2]-1_3_4-relatedword3,[Field-2]-2_1_1-relatedword1,[Field-2]-2_1_1-relatedword2,[Field-2]-2_1_1-relatedword3,[Field-2]-2_1_2-relatedword1,[Field-2]-2_1_2-relatedword2,[Field-2]-2_1_2-relatedword3,[Field-2]-2_1_3-relatedword1,[Field-2]-2_1_3-relatedword2,[Field-2]-2_1_3-relatedword3,[Field-2]-2_2_2-relatedword1,[Field-2]-2_2_2-relatedword2,[Field-2]-2_2_2-relatedword3,[Field-2]-2_2_3-relatedword1,[Field-2]-2_2_3-relatedword2,[Field-2]-2_2_3-relatedword3,[Field-2]-2_2_6-relatedword1,[Field-2]-2_2_6-relatedword2,[Field-2]-2_2_6-relatedword3,[Field-2]-2_3_1-relatedword1,[Field-2]-2_3_1-relatedword2,[Field-2]-2_3_1-relatedword3,[Field-2]-2_3_2-relatedword1,[Field-2]-2_3_2-relatedword2,[Field-2]-2_3_2-relatedword3,[Field-2]-2_3_4-relatedword1,[Field-2]-2_3_4-relatedword2,[Field-2]-2_3_4-relatedword3,[Field-2]-3_1_1-relatedword1,[Field-2]-3_1_1-relatedword2,[Field-2]-3_1_1-relatedword3,[Field-2]-3_1_6-relatedword1,[Field-2]-3_1_6-relatedword2,[Field-2]-3_1_6-relatedword3,[Field-2]-3_1_3-relatedword1,[Field-2]-3_1_3-relatedword2,[Field-2]-3_1_3-relatedword3,[Field-2]-3_2_5-relatedword1,[Field-2]-3_2_5-relatedword2,[Field-2]-3_2_5-relatedword3,[Field-2]-3_2_2-relatedword1,[Field-2]-3_2_2-relatedword2,[Field-2]-3_2_2-relatedword3,[Field-2]-3_2_3-relatedword1,[Field-2]-3_2_3-relatedword2,[Field-2]-3_2_3-relatedword3,[Field-2]-3_3_1-relatedword1,[Field-2]-3_3_1-relatedword2,[Field-2]-3_3_1-relatedword3,[Field-2]-3_3_2-relatedword1,[Field-2]-3_3_2-relatedword2,[Field-2]-3_3_2-relatedword3,[Field-2]-3_3_4-relatedword1,[Field-2]-3_3_4-relatedword2,[Field-2]-3_3_4-relatedword3,Forthisquestiontypethewordbananainthethreeboxes.-relatedword1,Forthisquestiontypethewordbananainthethreeboxes.-relatedword2,Forthisquestiontypethewordbananainthethreeboxes.-relatedword3,[Field-2]-1_1_3-relatedword1,[Field-2]-1_1_3-relatedword2,[Field-2]-1_1_3-relatedword3,[Field-2]-1_1_5-relatedword1,[Field-2]-1_1_5-relatedword2,[Field-2]-1_1_5-relatedword3,[Field-2]-1_1_6-relatedword1,[Field-2]-1_1_6-relatedword2,[Field-2]-1_1_6-relatedword3,[Field-2]-1_2_4-relatedword1,[Field-2]-1_2_4-relatedword2,[Field-2]-1_2_4-relatedword3,[Field-2]-1_2_5-relatedword1,[Field-2]-1_2_5-relatedword2,[Field-2]-1_2_5-relatedword3,[Field-2]-1_2_6-relatedword1,[Field-2]-1_2_6-relatedword2,[Field-2]-1_2_6-relatedword3,[Field-2]-1_3_2-relatedword1,[Field-2]-1_3_2-relatedword2,[Field-2]-1_3_2-relatedword3,[Field-2]-1_3_5-relatedword1,[Field-2]-1_3_5-relatedword2,[Field-2]-1_3_5-relatedword3,[Field-2]-1_3_6-relatedword1,[Field-2]-1_3_6-relatedword2,[Field-2]-1_3_6-relatedword3,[Field-2]-2_1_4-relatedword1,[Field-2]-2_1_4-relatedword2,[Field-2]-2_1_4-relatedword3,[Field-2]-2_1_5-relatedword1,[Field-2]-2_1_5-relatedword2,[Field-2]-2_1_5-relatedword3,[Field-2]-2_1_6-relatedword1,[Field-2]-2_1_6-relatedword2,[Field-2]-2_1_6-relatedword3,[Field-2]-2_2_1-relatedword1,[Field-2]-2_2_1-relatedword2,[Field-2]-2_2_1-relatedword3,[Field-2]-2_2_4-relatedword1,[Field-2]-2_2_4-relatedword2,[Field-2]-2_2_4-relatedword3,[Field-2]-2_2_5-relatedword1,[Field-2]-2_2_5-relatedword2,[Field-2]-2_2_5-relatedword3,[Field-2]-2_3_3-relatedword1,[Field-2]-2_3_3-relatedword2,[Field-2]-2_3_3-relatedword3,[Field-2]-2_3_5-relatedword1,[Field-2]-2_3_5-relatedword2,[Field-2]-2_3_5-relatedword3,[Field-2]-2_3_6-relatedword1,[Field-2]-2_3_6-relatedword2,[Field-2]-2_3_6-relatedword3,[Field-2]-3_1_4-relatedword1,[Field-2]-3_1_4-relatedword2,[Field-2]-3_1_4-relatedword3,[Field-2]-3_1_5-relatedword1,[Field-2]-3_1_5-relatedword2,[Field-2]-3_1_5-relatedword3,[Field-2]-3_1_2-relatedword1,[Field-2]-3_1_2-relatedword2,[Field-2]-3_1_2-relatedword3,[Field-2]-3_2_4-relatedword1,[Field-2]-3_2_4-relatedword2,[Field-2]-3_2_4-relatedword3,[Field-2]-3_2_1-relatedword1,[Field-2]-3_2_1-relatedword2,[Field-2]-3_2_1-relatedword3,[Field-2]-3_2_6-relatedword1,[Field-2]-3_2_6-relatedword2,[Field-2]-3_2_6-relatedword3,[Field-2]-3_3_3-relatedword1,[Field-2]-3_3_3-relatedword2,[Field-2]-3_3_3-relatedword3,[Field-2]-3_3_5-relatedword1,[Field-2]-3_3_5-relatedword2,[Field-2]-3_3_5-relatedword3,[Field-2]-3_3_6-relatedword1,[Field-2]-3_3_6-relatedword2,[Field-2]-3_3_6-relatedword3,LangSpoken,Lang_0-5,Lang_6-12,Lang_13-18,selfrate_speak,selfrate_understand,Span_classes,Span_classes_time,Span_classes_amount,current_enrolled,current_class,Caregivers_speak_Span,Span_travel,Span_country,mTurkCode
EN60,Female,19,Yes,sleep,comfortable,laying,look at,reflection,bedroom,cleaning,carpets,house,dirty,housework,tidy,meat,pasta,vegetables,wrinkles,hot,careful,shop,fashion,buy things,cheaper,good find,offer,pricey,designer,worthy,drink,coca cola,enjoyable,eat,cook,consume,vegetables,dressing,chicken,sports,video game,enjoyable,sports,fame,team,sports,game,soccer,injured,foot,cast,cough,fever,sleeping,eating,lifestyle,vegetables,wear,buy,fashion,head,accessory,fashion,flowey,nicer,fashion,fly,travel,destination,sun,sand,ocean,apartment,temporary,college,relaxing,wet,mud,hot,bright,sunscreen,jacket,layers,snow,banana,banana,banana,color,imagen mental,pintura,cama,dormir,limpio,limipar,colada,refrescar,sucio,vacio,usado,limpiar,sucio,suelo,limpiar,refrescar,lavadora,dinero,acabado con,darse la vida,descuento,venta,precio reducido,dinero en efectivo,tarjeta de credito,pagar,carne,comida,nutriente,alcohol,beber,social,pastilla,galleta,dulces,de deportes,juntos,tirar,jugeo,deporte,ganadora,deporte,juego,equipo,agravio,medicos,hospital,agravio,medicamento,dormir,hospital,medicamento,tratamiento,camisa,moda,comprar,moda,despertar,ropa,moda,vaqueros,pierna,conclusion,vacio,final,suelto,no ganar,ultimo lugar,reserva,cambio,problema,frio,fuego,pala,domingo,esfuerzo,filtro solar,frio,leaves,brisa,English,english,english,english,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,high school and college,"2 years in high school, 2 semesters in college",No,,No,No,,3584314
EN24,Male,19,Yes,Sleep,Pillow,Blanket,Glass,Reflection,Makeup,Loud,Clean,Carpet ,Sweep,Mop,Vacuum,Pot,Pan,Potato,Clothes,Steam,Hot,Food,Grocery,Clothes,Money,Store,Code,Money,Pricy,Jewelry,Fizzy,Sprite,Coke,Steak,Chicken,Pork,Lettuce,Carrot,Crouton,Board,Field,Track,Mentor,Leader,Hat,Whistle ,Stripes,Call,Pain,Metal,Uncomfy ,Sneeze,Bed,Fever,Heart,Fruit,Veggies,Camiseta ,T Shirt,Cotton,Head,Red,Cap,Female ,Pink,Silk,Fly,Clouds,Big,Umbrella,Ocean ,Flip Flops,Apartment,Equipment,Momey,Cloud,Thunder,Lightning,Bright,Powerfuk,Hot,Winter,Snow,January,Banana,Banana,Banana,Cuatro,Cinci,Seis,Dominga,Lunes,Miercoles,Limpiar ,Roja ,Rose ,Peligroso,Flavoriso ,Comida,Correr,Comer,Cocinar ,Limpiar,Mana,Cara,Tienda ,Pagar,Comprar,Anillo,Comida,Restaurants ,Mucho,Pagar ,Verde,Carne,Con queso,Salsa,Corona,Bebos ,Delicioso,Silk,Pastel,Leche,Flores,Arbols,Verde,Arbol,Futbol,Ganar ,Balancesto,Futbal,Golf,Oir ,Ojo ,Bien,Gracias,De,Colores ,Ambulance,Hospital,Farmesutical,Roja,Verde,Azul,Verde,Azul,Blanca,Camiseta,Zapatos,Gallo,Manzana,Mantiar,Ventana ,Once,Doce,Trece,Aloe,Lavar,Gracias,Timido ,Blanco,Nubes,Sol,Arboles,Roja,Vienite,Trienta,Quartirce ,"English, Spanish",English,English,English,I can talk about familiar topics using single words or short phrases.,I can understand basic information of everyday topics when listening/reading.,Yes,High School and College,"3 years in High School, 2 semesters in College",Yes,SPAN 2 and SPAN 3,No,No,,2459089
EN62,Female,20,Yes,object,furnature,soft,reflection ,apperance,bathroom,cleaning,picker upper,supply,cleaning,free of mess,tidy,dinner,lunch,breakfast,flatten,straighten,wrinkless,cooperation,building,online,less,money,fraction,pricey ,money,high end,pop,beverage,liquid,chicken,beef,viel ,lettuce,fork,green,electronic ,board,object,leader,loud,sports,sport,leader ,whistle ,leg,helpful,support,run down,tired,contagious,good,well,great,clothing ,top ,materal ,visor,shade,accessory,clothing ,legs,long/short,sky,aircraft,turbulance,sand,ocean,lake,borrow,payment,apartment,droplets,water,clear,yellow,bright,light,burr,freezing,chills,banana,banana,banana, Arte, gráfica, memoria, cama, suave, seda, limpiadora, máquina, ropa sucia, basura, maloliente, falta, Escoba, limpia,ordenada, limpia, ordenada, fresca,Tienda,dinero,negocio, barata, menos, bonita, pago, divisa, factura, carne, comida, deliciosa, alcohol, carbonatación, pesada, deliciosa, mmm, rica, juguete, Deportes, circulo, juego, ganadora, Mas suelta, juego, Deportes, entrenadora, radiografía, médica, hospital, Herida, doloroso, Ay, ayuda, curadora, Buena, objeto, ropa, cima,camisa,larga,corta, ropa, piernas, larga, mantener, objeto, mano, objeto, envase, llevar, Buena,Servicio, mala, invierno, fría,blanca, seca, húmeda, ˈswedē sudorosa, fría, brisa, ráfaga,eglish ,1,,,I can talk about familiar topics using single words or short phrases.,I can recognize only very familiar words when listening/reading.,Yes,high school and college,4,No,,No,No,,7528342
EN64,Female,19,Yes,pillow,blanket,sheet,reflection,big,small,big,cleans,loud,spotless,mop,vacuum,prepare,bake,serve,flatten,heat,un-wrinkle ,clothes,food,open,cheap,coupon,walmart,car,home,children,pop ,can,cola,chicken,turkey,beef,croutons,dressing,Vegetables ,board,show,fun,sports,athletic,school,sports,whistle,stripes ,aid,help,assist ,sad,fever,headache,organic,whole,exercise,pants,shoes,socks,gloves,scarf,boots,pencil,flowy,tight,sky,jetblue,pilot,sand,water,waves,pay,monthly,time,wet,cold,puddle,hot,sky,yellow,ice,frost,snow,banana,banana,banana,marco,teléfono, familia,cama ,manta,almohada,ropa  ,limpio,detergente,lata,recicilar,lanzar,suelo,Escoba,fregar,coche,manos,ropa,ropa,comida,dinero,facil,falso,descuento,pollo,arroz,Vegetales ,gallina,granja,cerdo,amigos ,vidrio,alcohol ,dulce,pastel,helado,deportes,redando,grande,deportes,trofeo,ninos ,Deportes  ,equipo,divertida,roto  ,daño,radiación,sol,playa,infierno,médico , hospital,COVID-19,pantalones,Zapatos ,ropa,zapatos,simpatico,bonita,camiseta ,Zapatos ,cortos ,coche,puerta ,Telefeno ,viaje  ,costoso,diseñador,ayuda,colegio, discapacitado,frio,blanco,hielo,sol,playa,comida,aire,fuerte,arbol,"english, spanish",english,english,english,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"middleschool, highschool, and college",1 semester/ 7 years,No,,No,No,,3168726
EN66,Female,20,Yes,sleep,comfy,quiet,glass,useful,pretty,dirt,mess,floor,boring,dust,dirt,fun,kitchen,food,mom,clothing,relaxing,stuff,dainty ,small,store,money,cheap,high-end,famous,Gucci,pepsi,brown,bubbly,beef,raw,grocery store,carrots,spinach,tomatoes,play,field,goals,yelling,man,tall,loud,whistle,yellow card,broken,ankle,hurt,cough,vomit,sleep,fruits,vegetables,young,black,body,clothes,head,warm,baseball,short,girl,pink,travel,big,white,blue,sun ,happy,house,young,small,cold,wet,blue,bright,yellow,orange,hate,blue,winter,banana,banana,banana,bonito,talentoso,colores,animales,césped,peligroso,ropa,limpiar,mojado,expirado,cubo,sucio,limpiar,escoba,tierra,ropas,platos,pelo,tienda,hablar,cosas,viejo,feo,ropa,necesario,gente,importante,carne,saludable,parrilla,amigos,fiesta,universidad,pastel,helado,hornear,fútbol,divertido,fuera,ganador,fútbol,fuerte,futbol,gol,estadio,hueso,brazo,roto,corazón,hueso,triste,cáncer,doctor,pastillas,rosado,verano,cómodo,niña,rosado,verano,jeans,largo,cálido,coche,autobús,carretera,escuela,libros,lapiz,viajar,hotel,vacaciones,frío,azul,triste,verano,piscina,divertido,tormenta,océano,fresco,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,high school and collge,6.75 years,No,,No,No,,4984350
EN74,Male,19,Yes,sheets,pillow,mattress,reflection,backwards,appearance,clean,hair,dust,sweep,vaccuum,dust,bake,oven,stove,steam,clothes,flat,clerk,cash,size,bargain,store,cash,cheap,bargain,fortune,pop,grape,carbonation,bacon,ham,pork,greens,lettuce,dressing,video,board,family,player,referee,team,black,white,penalty,injured,bandage,wheelchair,vomit,thermometer,fever,hungry,protein,jog,pants,store,shoes,baseball,summer,cap,flowing,white,style,airport,fly,flight attendant,day,sand,wave,apartment,house,car,sun,earth,air,sunscreen,beach,sunglasses,freezing,chills,blue,banana,banana,banana,cama,almohada,sabanas,almohada,cama,toalla,secador,ropa,jabón,sacar,chatarra,comida,aspiradora,quitar,pasar,secar,limpiar,quitar,tienda,dinero,descuento,caro,descuento,dinero,caro,descuento,barato,pierna,jamón,tocino,rojo,fruta,dolce,pastel,dolce,fruta,baloncesto,fútbol,balón,medalla,primer lugar,ganador,equipaje,líder,juego,doctor,medico,dinero,herido,pierna,gritar,hospital,medicina,fiebre,pantalones cortos,informal,divertido,camisa,pantalones,mujer,cortos,vestido,gafas de sol,coche,carro,bicicleta,hacer,equipaje,aeropuerto,cuarto,casa,alquilar,lluvia,sol,viento,frío,neutral,viento,tierra,fuego,agua,"English, Spanish",English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"High School, College",7 years,No,,No,No,,3956597
EN76,Male,20,Yes,Sleep,Comfortable,Tired,Myself,Glass,Gym,Mom,Loud,Annoying,Sweep,Wipe,Maid,Food,Steak,Tasty,Clothes,Board,Hot,Purchase,Items,Target,Good,Saving,Money,Clothing,Money,Price,Unhealthy,Sugar,Carbonation,Cow,Pig,Yummy,Healthy,Dressing,Lettuce,League,Video,Fun,Training,Sports,Whistle ,Stripes,Sports,Zebra,Hurt,Broken,Crippled,Sad,Uncomfortable,Germ,Medicine,Exercise,Vegetables ,Clothing,Wear,Sleeve,Head,Brim,Wear,Sexy ,Girl,Summer,Scary,Air,Flying,Fun,Sand,Water,Short-term,Annoying,Money,Water,Falling,Cloud,Warm,Pretty,Nice,Sweatshirt,Snow,Degrees,Banana,Banana,Banana,,,,,,,Ropa ,Lavar ,Limpiar,,,,Escoba ,Limpiar ,Madre ,Ropa ,Agua ,Lavadora ,Dinero ,Comprar ,Vender ,Dinero,Rebaja ,,Vender ,Comprar ,Trabajo ,Delicioso ,Animal ,Granja ,Beber ,Amigos ,Pub ,Pastel ,Galleta ,Hornear ,Juega ,Rojo ,Deportes ,Trofeo ,Deportes ,Pelota ,Deportes,Jugar ,Divertido ,Electronico ,Hueso ,Doctor ,Medicina ,Medico ,Roto ,Medicina ,Ayudar ,Inteligente ,Ropa ,Llevar ,,Bonito,Elegante,Blanco ,Ropa ,Llevar ,Largo ,Coche ,Carro ,Facil ,Empacar ,Ropa ,Vacaciones ,,,,Frio ,Blanco ,Hombre ,Sol ,Playa ,Cocina ,Frio,Rapido ,Avion ,English,English,English,English,I can talk about familiar topics using single words or short phrases.,I can understand basic information of everyday topics when listening/reading.,Yes, College,2 semesters,No,,No,No,,4050984
EN72,Male,21,Yes,headboard,pillow,sheets,dress,morning,hair,dust,air,dirt,wipe,wash,dry,sear,grill,fish,shirt,button,steam,hoard,save,shop,sale,tag,cheap,heavy,big,grand,sugar,bubbly,sweet,steak,fat,juice,lettuce,tomato,diet,play,compete,win,train,soccer,basketball,stripe,soccer,basketball,metal,handicap,long,chills,fever,fatigue,apple,heart,run,button,collar,sleeve,fedora,sun,brim,hem,flow,short,window,sky,engine,sand,volleyball,blue,borrow,lease,money,dark,wet,cold,tan,burn,skin,air,sick,chills,banana,banana,banana,pintar,cuadrado,arte,algodón,cansado,cálido,agua,ropa,jabón,olor,bolsas,negro,polvo,seco,madera,jabón,platos,cara,soda,dinero,comida,pobre,malo,insulto,sucio,manos,gastar,carne,rosa,proteina,borracha,marrón,levadura,comida,leche,dulce,fútbol,mosca,morado,fútbol,copa,lagrimas,deportes,camiseta,jugo,onda,negro,cáncer,cabeza,pierna,lagrima,abrigo,medicina,dinero,algodón,botón,taller,caro,elegante,largo,largos,planchados,piernas,situación,coche,calle,marrón,ropa,trabajo,cama,baño,cuaderno,blanco,agua,frío,sudor,mosquitos,olor,sopla,frío,corriente,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"High school, some college",3 years + 1 semester in college,Yes,Span 215,No,No,,9820852
EN78,Female,21,Yes,Sleep,Comfortable,Relaxation,Reflection,Perception,Look,Sweep,Clean,Loud,Tidy,Organize,Declutter,Bake,Chef,Cut,Flatten,Heat,Smoothen ,Shop,Market,Grocery,Sale,Money,Markdown,Pricey,Costly,Luxury,Pop,Coke,Drink,Red,Eat,Protein,Healthy,Lettuce,Appetizer,Board,Think,Play,Sit,Comfort,Sleep,Judge,Score,Whistle,Help,Lean,Care,Vomit,Discomfort,Pain,Fit,Active,Strong,Top,Clothes,Wear,Head,Warm,Wear,Dress,Flow,Fancy,Fly,Sky,Soar,Sunshine,Sand,Ocean,Pay,Live,Money,Wet,Sky,Clouds,Shine,Bright,Star,Freezing,Shivering,Frigid,Banana,Banana,Banana,Pintura,Retrato,Estampa,,,,Ropas,Lavar,Limpiar,Vertido,Comida,Trasto,Escobar,Asear,Limpiar,Bañar,Limpiar,Ducharse,Camello,Comerciante,Mercader,Economico,Gatuito,Accesible,Plata,Cambio,Centimo,Bien,Gallo,Granja,Chela,Trago,Bien,Chocolate,Tarta,Dulce,Bola,Balon,Baloncesto,Contienda,Torneo,Competencia,Atleta,Participante,Chico,Techologia,Moderna,Ciencia,Duelo,Triste,Tragico,Doctor,Enfermo,Bien,Camisa,Jersey,Polera,Ropa,Falda,Ropaje,Jean,Pants,Sudadera,Usar,Utilizar,Ocupar,Bolso,Cartera,Viajar,Hotel,Residencia,Estancia,Nevada,Invierno,Hielo,Arena,Sol,Caliente,Aire,Otoño,Ventisca,English,English,English,English,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can understand basic information of everyday topics when listening/reading.,Yes,High school and college,"2 years in high school, 3 semesters in college",No,,No,No,,9815653
EN82,Female,20,Yes,sleep,comfort,blanket,reflection,myself,vision,dust,dirt,loud,vaccuum,dust,spray,eat,chef,food,laundry,get dressed,church,grocery,clothing,jewlery,sale,store,shopping,purse,earrings,car,fizz,orange,bubbles,steak,chicken,pork,greens,healthy,dressing,wii,xbox,outside,mentor,sports,game,soccer,stripes,black and white,hurt,foot,hop,cough,sneeze,stuffy,exercise,run,veggies,tshirt,green,short sleeve,cold,wool,baseball ,mini,summer,fancy,fly,air,cloud,ocean,sand,umbrella,apartment,house,car,cloud,drop,wet,hot,yellow,beach,snow,winter,coat,banana,banana,banana,camara,vaccaciones,playa,dormir,comoda,azul,limpia,ropa,aqua,bruta,,,limpia,,,cuerpo,ropas,manos,ropas,comida,dinero,venta,ropa,,verde,barata,costosa,cena,bistec,delicioso,bebidas,vaccaciones,vino,delicioso,pastel,dulce,,,,juego,ganar,divertida,futbol,nadar,tenis,musica,bailar,divertida,medico,ambulancia,pharmacia,ayuda,simpatica,intelligente,ropa,verana,sol,fiesta,divertida,boda,camiseta,zapatos,azules,,,,,,,viaje,avion,escuela,frio,nube,guantes,playa,vaccaciones,sol,tiempo,frio,nubes,english,english,english,english,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,"freshman year of high school 1st and 2nd semester, sophomore year first and second semester",2,No,,No,No,,7538902
EN80,Male,22,Yes,sleep,blanket ,night,relfection ,personality,looks,clean,sweeper,loud,febreeze ,bathroom,windex,food,meat,pans,clean,dress,nice ,food,errands ,items,sale,stuff,free,,,,pop,bubbles ,dr. pepper ,,,,food,vegtable ,lettuce ,fun,friends ,play,team,sports ,teacher ,team,sports ,match,,,,,,,exercise ,cardio,muscles ,clothes ,social,workout ,cap,fashion,sports ,dress,women,fashion,travel,vacation ,flight,,,,,,,,,,heat,summer ,space,ice ,snow,winter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8624564
EN84,Female,20,Yes,cama,covers,sheet,miroir,glass,me,suck,loud,dirt,squeaky,shiny,lemon,chef,cociner,cuisiner,hot,metal,wrinkles,front,window,shop,percent,sale,clothes,cher,chic,kardashian,bubbly,gross,sugar,viande,carne,ham,green,nutrients,caesar,jeu,dice,win,whistle,stripes,yelling,stripes,whistle,shorts,gray,stick,support,enfermer,mal,flu,nutrients,nutrition,green,cloth,stripes,collar,cap,sun,sombrero,mini,flowers,spring,wings,delta,peanuts,playa,towel,bailar,louer,use,money,pour,drop,taylor swift,hot,burn,happy,ice,ice,baby,banana,banana,banana,calle,flores,personajes,animales,rayes,africa,ropa,agua,electrico,detesta,cocina,bolsa,basura,,,pelo,ropa,platos,ventana,ropa,comida,bueno,dinero,ropa,bueno,trabajar,helado,arroz,jamon,carne,agua,refresca,limonada,helado,galleta,sucre,voleibol,beisbol,futbol,ganar,futbol,beisbol,futbol,beisbol,voleibol,hospital,medico,caerse,malo,pie,medico,enfermo,hospital,paciente,short,rayes,rojo,ropa,vendedor,zapatos,short,jean,camiseta,conducir,coche,carro,vamos,ver,mundo,casa,cama,comida,invierno,frio,bella,te,cafe,verano,frio,otono,llover,"english, french, spanish",english,english,english,I can talk about familiar topics using full (simple) sentences and ask basic questions.,I can recognize only very familiar words when listening/reading.,Yes,college,two semesters,Yes,SPAN 100,No,No,,5949734
EN86,Female,19,Yes,Sheets,Pillows,Blanket ,Makeup,Hair,Reflection ,Loud,Dust,Dog hair,Dishes ,Clothes,Tidy up,Kitchen ,Food,Mom,Clothes,Neat,Clean ,Super market ,Mall,Car dealership ,Sale,Cheap,Shopping ,Clothes,School ,Diamonds,Coke,Sugar,Cold,Hamburger ,Steak,Chicken ,Carrots ,Lettuce,Avocado ,Lacrosse ,Play station ,Monopoly ,Mentor ,Sports,Trainor ,Soccer,Whistle ,Jersey ,Broken leg,Hurt,Limping ,Fever,Sore throat ,Coughing,Running,Salad,Routine ,Button down ,T shirt ,Clothing ,Magician ,Sun hat,Baseball cap,Short,Girl,Summer,Boarding pass,Passport ,Vacation ,Sunblock ,Ocean,Sand,House,Apartment ,Store,Boots,Grey skies,Movies,Hot,Sunburn,Beach,Winter,Ice cream,Water,Banana,Banana,Banana,La lampara ,Armario ,La cama,La cama,Dormir,Cansada,Los platos,Las tazas ,La Cocina,Sucio ,La comida basura ,Malo ,Limpiar ,El piso ,Lavar los platos,Los platos ,La ropa,Las ventanas,La ropa,La comida ,Los coches ,Ahorrar ,Descontar ,Dinero,Rico ,Ir de compras ,Trabajo,La carne ,El bistec ,La hamburgesa ,La fiesta,El vino ,Refresco ,Las galletas ,Los dulces ,El helado ,El fútbol,El beisbol ,Los perros ,Ganador ,Los deportes ,El premio ,Los deportes ,El fútbol,Correr ,Los huesos ,El médico,Roto ,Enfermo ,El fiebre ,La tos ,La enfermera ,El doctor ,El paciente ,La tienda,La ropa,El blue jeans ,La fiesta ,La niña ,La falda,La falda ,El vestido ,El blue jeans,Coche ,Conducir ,Calle ,Pierna ,Dolor,No caminar ,El hotel ,Las vaccaciones ,Aeropuerto,El invierno,Hacer muñeco de nieve ,Frío,La playa,El sol ,El verano ,Frío,La lluvia ,Las nubes,English ,English,English ,English/Spanish ,I can talk about familiar topics using full (simple) sentences and ask basic questions.,"In can understand the main idea and also details of somewhat complex discourse when listening/reading, especially if I'm familiar with the topic.",Yes,Middle school- college ,9 years ,Yes,"Spanish 3, Spanish 100",Yes,No,,1916251
